Espacenet;;;;;;;;;;;
Patent search;;;;;;;;;;;
"307 results found for (ctxt any ""fuel"" AND (ctxt any ""assemb*"" OR ctxt any ""bundl*"" OR ctxt any ""cartridg*"")) AND (ctxt any ""nuclear"" OR (ctxt any ""boil*"" AND ctxt any ""water*"")) AND ((ctxt any ""head*"" OR ctxt any ""cover*"") OR ((ctxt any ""top*"" OR ctxt any ""upper*"") AND (ctxt any ""nozzl*"" OR ctxt any ""cap*"" OR ctxt any ""lid*"" OR ctxt any ""plat*"" OR ctxt any ""end*"" OR ctxt any ""hood*"" OR ctxt any ""stem*""))) AND pd > ""2005-01-01"" AND (pn any ""FR"" OR pn any ""EP"")";;;;;;;;;;;
Results 1 to 307 displayed;;;;;;;;;;;
Query language: en / de / fr;;;;;;;;;;;
Sort by: Relevance;;;;;;;;;;;
;;;;;;;;;;;
No;Title;Abstract;Inventors;Applicants;Publication number;Earliest priority;IPC;CPC;Publication date;Earliest publication;Family number
159;FUEL ROD OF A WATER-COOLED WATER-MODERATED NUCLEAR REACTOR;The invention relates to nuclear technology regarding fuel rods of a VVER-1200 reactor and concerns an improved design of fuel rods of a VVER-1000 reactor. The essence of the invention consists in modifying the design of the lower end plug and increasing the length of the fuel rods, as well as increasing the length and mass of a fuel element column, thus allowing an increase in reactor thermal output to 3300 MW. A reactor core formed from fuel assemblies is configured with provision for the increased reactor thermal output and the increased length of the fuel rods in the fuel assemblies and can be used in a reactor vessel with dimensions similar to those of a standard vessel of a VVER-1000 reactor. The result consists in increasing fuel burnup, allowing an increase in reactor thermal output to ? 3300 MW and increasing the overall energy output of the nuclear power facility while keeping the vessel dimensions and safety of the VVER-1000 reactor unchanged.;"NOVIKOV VLADIMIR VLADIMIROVICH [RU] 
KUZNETSOV VLADIMIR IVANOVICH [RU] 
MEDVEDEV ANATOLII VASILEVICH [RU] 
LAGOVSKIY VICTOR BORISOVICH [RU] 
GIZATULLIN TIMUR TAGIROVICH [RU] 
SERGIENKO IVAN ROMANOVICH [RU]";JOINT STOCK COMPANY TVEL [RU];"EP4141889A1 
EP4141889A4";02.11.2020;"G21C1/02 
G21C3/04 
G21C3/07 
G21C3/10 
G21C3/18";"G21C1/18 (RU) 
G21C3/00 (RU) 
G21C3/04 (EP) 
G21C3/048 (EP) 
G21C3/10 (EP) 
G21C3/18 (EP) 
Y02E30/30 (EP)";01.03.2023;26.05.2021;76033943
160;NUCLEAR FUEL ASSEMBLY DEBRIS FILTERING BOTTOM NOZZLE;A base portion (104) for use in a bottom nozzle of a fuel assembly in a nuclear reactor includes a top surface (104b), a bottom surface (104a), and a plurality of vertical wall portions (106) arranged in a generally squared grid-like pattern which extend between the bottom surface and the top surface and which define a plurality of non-circular passages (109) passing between the bottom surface and the top surface through the base portion.;"ALESHIN ARTEM [US] 
HUEGEL DAVID S [US] 
CLEARY WILLIAM [US]";WESTINGHOUSE ELECTRIC CO LLC [US];"EP3596735A1 
EP3596735A4 
EP3596735B1";17.03.2017;"G21C3/32 
G21C3/33 
G21C19/307";"G21C19/307 (US) 
G21C3/3206 (EP,KR,US) 
G21C3/3305 (EP,US) 
G21C19/307 (EP) 
Y02E30/30 (EP,KR,US)";"2020-01-22 
2020-12-16 
2024-01-24";20.09.2018;63520676
161;A REACTOR IN-CORE INSTRUMENT HANDLING SYSTEM;A reactor in-core instrument handling system in which the signal leads are routed from the instrument sensors through an outer sheath through the upper reactor internals and out of and around the sheath in a substantially tightly wound spiral before exiting the reactor vessel.;MARGOTTA KENNETH V [US];"WESTINGHOUSE ELECTRIC CORP [US] 
WESTINGHOUSE ELECTRIC CO LLC [US]";"EP2984654A2 
EP2984654A4 
EP2984654B1";11.04.2013;"G21C19/18 
G21C19/20";"G21C17/10 (EP,US) 
G21C17/116 (EP,US) 
G21C19/19 (EP,US) 
G21C1/086 (EP,US) 
G21C1/322 (EP,US) 
Y02E30/30 (EP)";"2016-02-17 
2016-12-07 
2017-09-20";16.10.2014;51686809
162;NUCLEAR REACTOR WITH FUEL ELEMENTS PROVIDED WITH EXPANDERS;"The present invention concerns a nuclear reactor (1), preferably a pool-type nuclear reactor cooled by liquid metal or molten salts, having a core (4) formed of a bundle of fuel elements (12) and immersed in a primary fluid (F) for cooling the core; the fuel elements (12) are provided with expanders (50) acting in a direction perpendicular to the axes (A) of the fuel elements (12) and having low thermal expansion elements (51) which engage alternatively with high thermal expansion elements (52) to amplify the radial expansion of respective end elements (53) which, when a predetermined temperature is exceeded, engage with each other and space the fuel elements (12) from one another and in particular their active part (13) to introduce negative reactivity into the core.";CINOTTI LUCIANO [IT];HYDROMINE NUCLEAR ENERGY S A R L [LU];"EP3453029A1 
EP3453029B1";04.05.2016;G21C7/30;"G21C7/30 (EP,KR,US) 
Y02E30/30 (EP,KR)";"2019-03-13 
2020-03-11";04.11.2017;56853768
163;Nuclear reactor control rod;A control rod for nuclear reactor having a lower section that contains an annular neutron absorber wrapped in a metal sleeve. The sleeve rests on a lower spacer which is seated on the control rod lower end cap. The upper portion of the sleeve extends above the annular neutron absorber of this lower section and is capped by an upper spacer. The standard neutron absorber is supported above this upper spacer which rests on the upper end of the metal sleeve to define a gap between the upper spacer and the annular neutron absorber to accommodate axial expansion.;"BURGER JOSEPH M [US] 
SMITH GEORGE P [US]";WESTINGHOUSE ELECTRIC CORP [US];EP2020661A1;30.07.2007;"G21C7/10 
G21C7/103 
G21C7/117";"G21C7/08 (KR) 
G21C7/10 (EP,US) 
G21C7/103 (EP,US) 
G21C7/117 (EP,US) 
Y02E30/30 (EP,US)";04.02.2009;04.02.2009;40039967
164;CONTAINER FOR THE STORAGE/TRANSPORT OF UNIRRADIATED RADIOACTIVE MATERIALS SUCH AS NUCLEAR FUEL ASSEMBLIES;The invention relates to a container (1) which is intended for the storage/transport of unirradiated radioactive materials. The inventive container consists of a main structure (4) and a casing (2) comprising an inner lateral wall defining a cavity in which the main structure (4) can be housed. The aforementioned main structure defines a plurality of housings (26) which can receive at least one fuel assembly. According to the invention, the container also comprises separation means (3) between the main structure and the casing, which prevent any direct contact between the inner lateral wall (24) and the main structure (4), such as to enable localised deformation of the inner lateral wall of the casing during punch testing.;"ALAURENT BENOIT [FR] 
REYNAUD CHRISTIAN [FR] 
BERSEGOL JEAN-PIERRE [FR]";"COGEMA LOGISTICS [FR] 
TN INT [FR]";"EP1576621A2 
EP1576621A3 
EP1576621B1";06.11.2002;"G21F5/08 
G21F5/08";G21F5/08 (EP);"2005-09-21 
2005-11-23 
2008-01-09";07.05.2004;32104487
165;A METHOD AND APPARATUS FOR INSPECTING A FUEL ASSEMBLY;A fuel assembly inspection system that utilizes a pressure transducer mounted to a utility's spent fuel handling tool to detect a relative change in depth of a fuel assembly during fuel inspections. The system then wirelessly transmits the signal to a fuel inspection recording system, which converts the signal to a relative height along the fuel assembly being viewed by a camera, and displays the relative height along with the applicable fuel assembly feature being viewed by the camera (e.g., nozzle, grid, span) via a text overlay on the video image of the inspection.;"POLIDORA JAMES T [US] 
LAZESKI SHAWN D [US] 
SLEASMAN JEFF H [US]";WESTINGHOUSE ELECTRIC CO LLC [US];"EP3732695A1 
EP3732695A4 
EP3732695B1";26.12.2017;"G21C17/10 
G01L19/08 
H04N23/90 
G01L19/02 
G21C17/06 
G21C19/07 
G21C19/10 
G21C19/20 
H04N5/77 
H04N7/18";"G01L19/02 (EP) 
G01L19/083 (KR) 
G01L19/086 (EP,KR,US) 
G21C17/06 (EP,US) 
G21C17/10 (KR) 
G21C19/07 (EP) 
G21C19/10 (EP,US) 
G21C19/207 (EP) 
H04N23/555 (EP) 
H04N5/77 (EP,US) 
H04N7/183 (EP) 
G21C19/07 (US) 
G21C19/207 (US) 
H04N23/555 (US) 
Y02E30/30 (EP,KR)";"2020-11-04 
2021-09-01 
2022-03-16";27.06.2019;66950618
166;LOWER END FITTING LOCKNUT FOR NUCLEAR FUEL ASSEMBLY;A fuel assembly includes a plurality of fuel rods comprising fissile material, a plurality of guide tubes interspersed amongst the fuel rods, an upper end fitting connected with upper ends of guide tubes, and a lower end fitting. End plugs are connected with the lower ends of the guide tubes. The end plugs have threaded male shafts extending from the lower ends of the guide tubes which pass through openings of the lower end fitting. Female lock nuts are threaded onto the threaded male shafts of the end plugs and lock with the lower end fitting to secure the lower end fitting to the lower ends of the guide tubes. The female lock nuts suitably have locking portions that are outwardly deformed into recesses of the lower end fitting to lock the lock nuts in place after tightening. Dashpot tubes may be disposed in the lower ends of the guide tubes and connected to the end plugs.;"ULLMANN JULIUS M [US] 
WALTON LEWIS A [US] 
JOHNSON MARY W [US]";"BABCOCK & WILCOX NUCLEAR ENERGY INC [US] 
BWXT MPOWER INC [US]";"EP2839468A2 
EP2839468A4 
EP2839468B1";16.04.2012;G21C3/33;"B25B23/0092 (EP) 
F16B39/025 (EP,US) 
G21C3/3305 (EP,US) 
G21C3/331 (EP,US) 
G21C3/3315 (EP) 
B25B23/0092 (US) 
F16B23/0015 (US) 
G21C3/3315 (US) 
Y02E30/30 (EP,US)";"2015-02-25 
2016-03-16 
2018-06-27";17.10.2013;49325100
167;FUEL BUNDLE FOR A LIQUID METAL COOLED NUCLEAR REACTOR;In one embodiment, a fuel bundle for a liquid metal cooled reactor includes a channel, a nose assembly secured to a lower end of the channel, a plurality of fuel rods disposed within the channel, and an internal mixer disposed within the channel above the plurality of fuel rods. The internal mixer includes peripheral flow control members and interior flow control members. The peripheral flow control members are located near walls of the channel, and the interior flow control members are located towards a longitudinal center of the housing. At least one of the peripheral flow control members is configured to direct liquid metal flowing through the channel towards an interior of the channel, and at least one of the interior flow control members is configured to direct liquid metal flowing through the channel away from the interior of the channel.;"LOEWEN ERIC P [US] 
TRIPLETT BRIAN S [US] 
DOOIES BRETT J [US] 
PFEFFER SCOTT L [US]";"GE HITACHI NUCL ENERGY AMERICA [US] 
GE HITACHI NUCLEAR ENERGY AMERICAS LLC [US]";"EP2850617A1 
EP2850617B1";15.05.2012;"G21C1/02 
G21C3/322 
G21C1/03 
G21C3/33";"G21C1/02 (KR) 
G21C1/022 (KR) 
G21C1/028 (CN) 
G21C1/03 (EP,US) 
G21C3/30 (KR) 
G21C3/322 (EP,CN,KR,US) 
G21C3/3305 (EP,US) 
Y02E30/30 (EP,US)";"2015-03-25 
2018-04-04";21.11.2013;49118757
168;AN ULTRA-SAFE WET STORAGE FACILITY FOR NUCLEAR FUEL;An autonomous facility for storing spent nuclear fuel in one embodiment includes a building forming an enclosed interior space containing a water-filled spent fuel pool. The pool includes fuel racks containing spent fuel assemblies which heat the water via radioactive decay. A passive cooling system includes a submerged heat exchanger in the pool and an air cooled heat exchanger located in ambient air outside the building at a higher elevation than the pool heat exchanger. A heat transfer working fluid circulates in a closed flow loop between the heat exchangers via unpumped natural gravity driven flow to cool the fuel pool. The air cooled heat exchanger may be enclosed in a concrete reinforced silo adjoining the building for impact protection. The building may include a cask pit formed integrally with the pool to allow fuel assembles to be removed from a transport cask and loaded into the fuel rack underwater.;"SINGH KRISHNA P [US] 
RAJKUMAR JOSEPH [US]";HOLTEC INTERNATIONAL [US];"EP3195325A2 
EP3195325A4 
EP3195325B1";04.08.2014;"G21C19/40 
G21C19/07 
G21C19/08 
G21C19/32 
G21F7/00 
G21F7/005 
G21F5/14";"G21C19/07 (EP,US) 
G21C19/08 (EP,US) 
G21C19/32 (EP,US) 
G21F7/00 (EP,US) 
G21F7/005 (EP,US) 
G21F5/14 (EP,US) 
Y02E30/30 (EP)";"2017-07-26 
2018-03-14 
2019-05-22";04.02.2016;55180725
169;Grid insert for the lowermost grid in a fuel assembly;A lowermost grid for a nuclear fuel cell includes a grid insert secured therein. The grid insert is a tube having an inwardly projecting retention lip at its lower end. The lowermost grid is secured to a lower nozzle by a mechanical fastener passing through a hole in the lower nozzle, through the grid insert's lower end, where it engages a guide tube, thereby sandwiching the retention lip between the guide tube's end fitting and the lower nozzle. A method of securing the lowermost grid to the lower nozzle is also provided.;"HELLANDBRAND PATRICK A JR [US] 
MARTIN MICHAEL L [US] 
BRODERS RICHARD P [US]";WESTINGHOUSE ELECTRIC CORP [US];"EP1589539A2 
EP1589539A3";21.04.2004;"G21C3/332 
G21C21/00 
G21C3/33 
G21C3/332 
G21C3/334 
G21C3/356";"F16F1/12 (KR) 
F16F15/067 (KR) 
G21C3/332 (EP,US) 
G21C3/334 (EP,US) 
Y02E30/30 (EP,US)";"2005-10-26 
2008-03-19";26.10.2005;34935076
170;METHOD FOR TESTING THE IMPERMIABILITY OF FUEL ELEMENTS OF A WATER BOILING REACTOR FUEL RODS;The invention relates to a method for testing the impermiability of fuel elements (40) of a water boiling reactor fuel rods, wherein a plurality of fuel elements (40) is disposed in an adjacent manner in a cell (4) of a top core grid (10) of the water boiling reactor, the fuel elements (40) of the cell (4) plurality forming a compartment (5) are simultaneously heated by the fact that a hood (6) is disposed above said fuel elements. At least one water sample is taken from each cell (4) of said compartment (5) and, afterwards, the water samples of the cell plurality (4) forming a group (A, B, C) are jointly managed and analysed for determining the presence of radioactive fission products in said water samples. Several (A, B, C) groups are analysed simultaneously and independently of each other in measuring channels (14A, B, C) of an analysing device (14) whose number correspond to the number of the (A, B, C) groups. If the analytical result in a group (A) is positive, the water samples of the cells (4) of a the group (A) are transferred separately from each other to the analysing device (14) and are separately analysed in the corresponding number of measuring channels (14A,B, C) and afterwards the fuel elements of the positively tested cell (4) are individually controlled outside of the hood(6).;"PUELMANNS MARKUS [DE] 
STARK RICHARD [DE]";AREVA NP GMBH [DE];"EP1810297A1 
EP1810297B1";11.11.2004;G21C17/07;"G21C17/04 (EP,US) 
G21C17/06 (EP,US) 
G21C17/07 (EP,US) 
Y02E30/30 (EP)";"2007-07-25 
2008-05-14";12.01.2006;35501998
171;SPENT FUEL STORAGE RACK;"A spent fuel storage rack 1 according to the present invention is installed in a fuel storage pool of a nuclear facility, and has a rectangular parallelepiped shape forming a plurality of lattice-like cells 2a that are configured to separately accommodate a plurality of fuel assemblies in a matrix of rows and columns. As shown in Fig. 1 , the spent fuel storage rack 1 includes: a base 17 configured to support lower parts of fuel assemblies, the base 17 forming a bottom surface of the spent fuel storage rack 1; an outer frame 3 located above the base 17, the outer frame 3 forming an outermost periphery of the spent fuel storage rack 1; and a lattice body 2 disposed inside the outer frame 3, the lattice body 2 forming the lattice-like cells 2a. The lattice body 2 includes: a main lattice 4 having a height equivalent to an active length of the fuel assembly; an upper lattice 5 disposed above the main lattice 4 so as to be fitted to an upper end of the main lattice 4; and a lower lattice 6 disposed between the base 17 and the main lattice 4 so as to be fitted to a lower end of the main lattice 4. Thus, the main lattice 4 can be formed without welding, whereby the main lattice 4 can be made of a boron-added stainless steel to which a sufficient amount of boron is added to absorb neutrons.";MAEDA MANABU [JP];TOSHIBA KK [JP];"EP2112665A1 
EP2112665A4 
EP2112665B1";13.02.2007;"G21C19/07 
G21C19/40";"G21C19/07 (EP,US) 
G21C19/40 (EP,US) 
Y02E30/30 (EP)";"2009-10-28 
2012-05-09 
2013-06-12";21.08.2008;39690043
172;SMALL MODULAR REACTOR CONTROL ROD GUIDE ASSEMBLY;"No abstract found. Please consult other publications of this patent family in ""Available in"", if displayed above";"WALTON LEWIS A [US] 
PABIS GEORGE S [US] 
ULLMANN JULIUS M [US] 
RAAS JEAN H [US] 
GILLIAM MARTHA A [US] 
AUSTIN ANNE R [US] 
BARRINGER ERIC A [US]";BABCOCK & WILCOX MPOWER INC [US];"EP2839485A1 
EP2839485A4 
EP2839485B1";17.04.2012;"G21C1/32 
G21C13/02 
G21C13/04 
G21C21/00 
G21C3/33 
G21C7/08 
G21C7/12 
G21D5/04";"G21C1/32 (EP) 
G21C13/02 (EP) 
G21C13/024 (US) 
G21C13/04 (EP) 
G21C3/3315 (EP) 
G21C7/08 (EP) 
G21C7/12 (EP) 
Y02E30/30 (EP)";"2015-02-25 
2015-12-02 
2018-03-07";25.02.2015;52347570
